lookback,layers,neurons,activation,learning_rate,dropout,batch,train_mse,val_mse,test_mse,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_mape,val_mape,test_mape,train_r2,val_r2,test_r2,epochs_trained,final_learning_rate,final_train_loss,final_val_loss,model_id,total_parameters,model_path,history
24,2,16,relu,0.02,0.02,256,0.000421811,0.002524706,0.002040283,0.010865247,0.014601914,0.013039953,0.020538049,0.050246454,0.045169495,49471.0162,552461.2351,69462.77937,0.137943827,0.031502361,0.028063914,15,0.02,0.000420488,0.002545425,L2N16AreluLB24LR0.02D0.02B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.02D0.02B256.keras,"{'loss': [0.0005673132254742086, 0.0004932511947117746, 0.0004977568169124424, 0.0004944460233673453, 0.0004349726950749755, 0.00042925262823700905, 0.0004272562509868294, 0.0004284663300495595, 0.0004268022021278739, 0.00042792141903191805, 0.0004298787971492857, 0.0004296354891266674, 0.00042945038876496255, 0.00042188679799437523, 0.00042048830073326826], 'val_loss': [0.0026473344769328833, 0.0026632011868059635, 0.0026587937027215958, 0.002570399083197117, 0.0025247058365494013, 0.002526556607335806, 0.0025282057467848063, 0.002524776617065072, 0.0025354144163429737, 0.0025718382094055414, 0.0025665774010121822, 0.002567850984632969, 0.0025681061670184135, 0.0025418882723897696, 0.0025454245042055845], 'learning_rate': [0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.02,0.04,256,0.000489547,0.002638446,0.002110623,0.012998625,0.017385485,0.015595403,0.022125698,0.051365807,0.04594152,77714.83708,866780.9641,109106.7971,-0.000486271,-0.012129232,-0.00544415,11,0.02,0.000490871,0.00264859,L2N16AreluLB24LR0.02D0.04B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.02D0.04B256.keras,"{'loss': [0.0005954555817879736, 0.0004923947853967547, 0.000495002546813339, 0.0004992997273802757, 0.0005036343354731798, 0.0004918841295875609, 0.0004917983314953744, 0.0004920398350805044, 0.0004922787193208933, 0.000490911363158375, 0.0004908706760033965], 'val_loss': [0.002638446632772684, 0.0026592249050736427, 0.0026655104011297226, 0.0026615732349455357, 0.002647207584232092, 0.0026433102320879698, 0.0026471412274986506, 0.002651663264259696, 0.0026548116002231836, 0.002647952176630497, 0.0026485903654247522], 'learning_rate': [0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.02,0.06,256,0.000489316,0.002632317,0.002107052,0.013093003,0.017417522,0.015647902,0.022120491,0.05130611,0.04590264,80801.89567,901205.0157,113440.1285,-1.54E-05,-0.009778032,-0.003743079,40,0.02,0.000489324,0.002632951,L2N16AreluLB24LR0.02D0.06B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.02D0.06B256.keras,"{'loss': [0.0006033866084180772, 0.0004921323270536959, 0.0004944459651596844, 0.0004983132239431143, 0.0005026975413784385, 0.0004916191101074219, 0.000491762941237539, 0.0004920046776533127, 0.0004922312218695879, 0.0004908888950012624, 0.0004908571718260646, 0.0004909129929728806, 0.0004909436102025211, 0.0004899700288660824, 0.0004899159539490938, 0.0004899493069387972, 0.0004899839987047017, 0.0004896183381788433, 0.0004896360915154219, 0.0004896414466202259, 0.0004896470345556736, 0.0004895195015706122, 0.0004895090241916478, 0.0004895138554275036, 0.0004895194433629513, 0.0004894169396720827, 0.0004894090816378593, 0.0004894112353213131, 0.0004894132725894451, 0.0004893646691925824, 0.0004893640871159732, 0.000489364902023226, 0.0004893657169304788, 0.0004893379518762231, 0.0004893375444225967, 0.000489338010083884, 0.0004893383011221886, 0.0004893235745839775, 0.0004893234581686556, 0.0004893236327916384], 'val_loss': [0.0026446962729096413, 0.002656690077856183, 0.0026651774533092976, 0.002659605350345373, 0.0026436869520694017, 0.0026431595906615257, 0.0026464443653821945, 0.002651011338457465, 0.002654322190210223, 0.0026477111969143152, 0.0026484932750463486, 0.00264866859652102, 0.0026481151580810547, 0.0026372664142400026, 0.002636972116306424, 0.0026370584964752197, 0.002637231256812811, 0.0026388417463749647, 0.0026389220729470253, 0.0026389409322291613, 0.0026389327831566334, 0.002634595613926649, 0.0026347734965384007, 0.002634905045852065, 0.0026350354310125113, 0.0026328586973249912, 0.002632836578413844, 0.0026328766252845526, 0.0026329157408326864, 0.0026323169004172087, 0.002632340183481574, 0.0026323357596993446, 0.0026323318015784025, 0.002632704097777605, 0.0026326859369874, 0.002632679184898734, 0.002632672432810068, 0.0026329075917601585, 0.0026329474058002234, 0.0026329513639211655], 'learning_rate': [0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0003124999930150807, 0.0003124999930150807, 0.0003124999930150807, 0.0003124999930150807, 0.00015624999650754035, 0.00015624999650754035, 0.00015624999650754035, 0.00015624999650754035, 7.812499825377017e-05, 7.812499825377017e-05, 7.812499825377017e-05, 7.812499825377017e-05, 3.9062499126885086e-05, 3.9062499126885086e-05, 3.9062499126885086e-05]}"
24,2,16,relu,0.02,0.08,256,0.000489524,0.002638182,0.002110444,0.013002074,0.017386647,0.015596519,0.022125185,0.051363237,0.045939567,77841.80559,868196.8744,109284.8786,-0.000439937,-0.012027976,-0.005358644,11,0.02,0.000490872,0.002648601,L2N16AreluLB24LR0.02D0.08B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.02D0.08B256.keras,"{'loss': [0.0005960972630418837, 0.0004924143431708217, 0.0004950520815327764, 0.0004993815091438591, 0.0005036796210333705, 0.0004917894257232547, 0.0004918038030155003, 0.0004920439096167684, 0.0004922843654640019, 0.0004909139825031161, 0.0004908719565719366], 'val_loss': [0.0026381821371614933, 0.0026594079099595547, 0.002665626583620906, 0.0026555408257991076, 0.0026385055389255285, 0.0026432950980961323, 0.002647226210683584, 0.002651738468557596, 0.002654867945238948, 0.0026479787193238735, 0.002648600609973073], 'learning_rate': [0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.02,0.1,256,0.000489316,0.002632316,0.002107052,0.013093016,0.017417526,0.015647909,0.022120491,0.051306103,0.045902636,80802.28606,901209.3689,113440.6765,-1.54E-05,-0.009777751,-0.003742885,40,0.02,0.000489324,0.00263295,L2N16AreluLB24LR0.02D0.1B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.02D0.1B256.keras,"{'loss': [0.00059901038184762, 0.000492285646032542, 0.0004947817651554942, 0.0004989094450138509, 0.000503272982314229, 0.000491711834911257, 0.000491786515340209, 0.0004920273786410689, 0.0004922618973068893, 0.0004909036215394735, 0.0004908660775981843, 0.0004909181734547019, 0.0004909462877549231, 0.000489972997456789, 0.0004899202031083405, 0.0004899536143057048, 0.0004899883642792702, 0.0004896197351627052, 0.0004896370228379965, 0.0004896422033198178, 0.0004896478494629264, 0.0004895200254395604, 0.0004895098390989006, 0.0004895147285424173, 0.0004895202000625432, 0.0004894174635410309, 0.000489409314468503, 0.0004894115263596177, 0.0004894134472124279, 0.0004893649602308869, 0.0004893641453236341, 0.0004893650766462088, 0.0004893658915534616, 0.0004893379518762231, 0.0004893376608379185, 0.0004893379518762231, 0.0004893384175375104, 0.0004893235163763165, 0.0004893235745839775, 0.0004893236327916384], 'val_loss': [0.0026407805271446705, 0.002658251440152526, 0.0026654605753719807, 0.002657389035448432, 0.002640720224007964, 0.002643243409693241, 0.002646898152306676, 0.0026514409109950066, 0.002654643729329109, 0.0026478709187358618, 0.002648560330271721, 0.0026486357674002647, 0.0026480054948478937, 0.002637257566675544, 0.0026369791012257338, 0.0026370766572654247, 0.0026372596621513367, 0.0026388559490442276, 0.002638926962390542, 0.002638941165059805, 0.0026389295235276222, 0.0026346163358539343, 0.0026347909588366747, 0.0026349234394729137, 0.0026350540574640036, 0.002632864285260439, 0.0026328428648412228, 0.0026328819803893566, 0.002632921328768134, 0.0026323162019252777, 0.002632339484989643, 0.0026323350612074137, 0.002632331335917115, 0.002632703399285674, 0.002632684772834182, 0.0026326782535761595, 0.00263267126865685, 0.002632907358929515, 0.002632946940138936, 0.002632950432598591], 'learning_rate': [0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0024999999441206455, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0012499999720603228, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0006249999860301614, 0.0003124999930150807, 0.0003124999930150807, 0.0003124999930150807, 0.0003124999930150807, 0.00015624999650754035, 0.00015624999650754035, 0.00015624999650754035, 0.00015624999650754035, 7.812499825377017e-05, 7.812499825377017e-05, 7.812499825377017e-05, 7.812499825377017e-05, 3.9062499126885086e-05, 3.9062499126885086e-05, 3.9062499126885086e-05]}"
24,2,16,relu,0.04,0.02,256,0.000432845,0.002522799,0.002035823,0.011968263,0.015649681,0.013572302,0.020804937,0.050227475,0.045120093,59661.00826,667502.8911,88960.85839,0.115393779,0.032233836,0.030188776,18,0.04,0.000420879,0.002542608,L2N16AreluLB24LR0.04D0.02B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.04D0.02B256.keras,"{'loss': [0.0006956871366128325, 0.00044624332804232836, 0.00043350423220545053, 0.00043013127287849784, 0.0004319849540479481, 0.00043477598228491843, 0.00044138485100120306, 0.00043891265522688627, 0.0004365528584457934, 0.0004277655098121613, 0.00042449875036254525, 0.0004255650856066495, 0.00042348707211203873, 0.0004237709508743137, 0.00042025663424283266, 0.0004215710505377501, 0.0004236954846419394, 0.00042087925248779356], 'val_loss': [0.002545739058405161, 0.0025464764330536127, 0.00253592268563807, 0.0025413790717720985, 0.0025520625058561563, 0.0025287508033216, 0.0025245132856070995, 0.0025228001177310944, 0.0025238629896193743, 0.0025561002548784018, 0.0025612483732402325, 0.002563582034781575, 0.002568465657532215, 0.0025523470249027014, 0.002550470409914851, 0.0025527197867631912, 0.0025527901016175747, 0.0025426079519093037], 'learning_rate': [0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.004999999888241291, 0.0024999999441206455]}"
24,2,16,relu,0.04,0.04,256,0.000509137,0.002607293,0.002101638,0.014402501,0.018002654,0.016567746,0.02256407,0.051061662,0.045843624,104269.0428,1162850.159,146380.3535,-0.0405239,-0.000178756,-0.001163734,15,0.04,0.000490378,0.002641857,L2N16AreluLB24LR0.04D0.04B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.04D0.04B256.keras,"{'loss': [0.0008361020009033382, 0.0004936416517011821, 0.0004985794075764716, 0.0005049863248132169, 0.0005015698843635619, 0.0004956631455570459, 0.0004932561423629522, 0.0004944087704643607, 0.0004959168727509677, 0.000491286045871675, 0.000491173705086112, 0.0004913227166980505, 0.0004914940800517797, 0.0004902936052531004, 0.0004903775407001376], 'val_loss': [0.0026269350200891495, 0.002662799321115017, 0.002647899091243744, 0.0026106711011379957, 0.0026072931941598654, 0.0026597711257636547, 0.0026615720707923174, 0.0026655029505491257, 0.002667158143594861, 0.0026427763514220715, 0.0026418017223477364, 0.0026413612067699432, 0.0026421151123940945, 0.0026405244134366512, 0.0026418569032102823], 'learning_rate': [0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.04,0.06,256,0.00050936,0.00260726,0.002101717,0.014412765,0.018008075,0.016575889,0.02256901,0.051061334,0.045844482,104403.242,1164346.24,146568.7196,-0.040979562,-0.000165921,-0.001201207,15,0.04,0.000490307,0.002640919,L2N16AreluLB24LR0.04D0.06B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.04D0.06B256.keras,"{'loss': [0.0008776309550739825, 0.0004931658622808754, 0.0004968525609001517, 0.0005037083756178617, 0.000503993418533355, 0.0004955754266120493, 0.0004928009584546089, 0.0004937072517350316, 0.0004949310678057373, 0.0004912870936095715, 0.0004910911666229367, 0.0004912177682854235, 0.0004913741140626371, 0.0004902323125861585, 0.0004903071676380932], 'val_loss': [0.0026250623632222414, 0.002663007704541087, 0.0026580544654279947, 0.0026201815344393253, 0.0026072594337165356, 0.002656323369592428, 0.0026591334026306868, 0.0026633339002728462, 0.0026665094774216413, 0.0026440860237926245, 0.0026426552794873714, 0.002641522092744708, 0.00264145084656775, 0.0026396606117486954, 0.002640918828547001], 'learning_rate': [0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.04,0.08,256,0.000509356,0.00260726,0.002101715,0.014412585,0.01800798,0.016575746,0.022568923,0.05106134,0.045844467,104400.889,1164320.009,146565.4169,-0.04097155,-0.000166142,-0.001200545,15,0.04,0.000490371,0.002641768,L2N16AreluLB24LR0.04D0.08B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.04D0.08B256.keras,"{'loss': [0.0008410970913246274, 0.0004935974720865488, 0.0004984099650755525, 0.0005049248575232923, 0.0005018041701987386, 0.0004956696066074073, 0.0004932080046273768, 0.0004943369422107935, 0.0004958166391588748, 0.0004912870354019105, 0.0004911653231829405, 0.0004913125303573906, 0.0004914829623885453, 0.0004902874352410436, 0.0004903709632344544], 'val_loss': [0.0026263189502060413, 0.002662917599081993, 0.0026490073651075363, 0.002611249452456832, 0.0026072601322084665, 0.0026595783419907093, 0.002661338774487376, 0.0026653248351067305, 0.0026671597734093666, 0.0026428743731230497, 0.0026418636552989483, 0.0026413542218506336, 0.002642029197886586, 0.0026404429227113724, 0.00264176819473505], 'learning_rate': [0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
24,2,16,relu,0.04,0.1,256,0.000509897,0.002607185,0.002101909,0.014437315,0.018021101,0.016595399,0.022580894,0.051060602,0.045846582,104723.1657,1167912.813,147017.7743,-0.042076108,-0.00013725,-0.001292935,15,0.04,0.000490327,0.002641176,L2N16AreluLB24LR0.04D0.1B256,3601,/gdrive/MyDrive/Colab Notebooks/LSTM_MFT/export/saved_models/model_L2N16AreluLB24LR0.04D0.1B256.keras,"{'loss': [0.0008660823805257678, 0.0004933039890602231, 0.0004973081522621214, 0.0005041933618485928, 0.0005033661727793515, 0.0004956494085490704, 0.0004929144051857293, 0.000493887928314507, 0.0004951863666065037, 0.0004912892472930253, 0.0004911120049655437, 0.0004912457661703229, 0.0004914076416753232, 0.0004902483196929097, 0.0004903267836198211], 'val_loss': [0.0026246176566928625, 0.002663279650732875, 0.0026556304655969143, 0.00261679501272738, 0.0026071849279105663, 0.0026575846131891012, 0.0026597860269248486, 0.002663982566446066, 0.002666829153895378, 0.0026436680927872658, 0.0026423775125294924, 0.0026414240710437298, 0.0026415768079459667, 0.002639898331835866, 0.0026411761064082384], 'learning_rate': [0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.03999999910593033, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.019999999552965164, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.009999999776482582, 0.004999999888241291, 0.004999999888241291]}"
