p,d,q,P,D,Q,s,MSE,MAE,R2,AIC,BIC,fit_time,status
12,0,12,0,0,0,144,0.0010783363921658604,0.010172791257232881,0.08708017792476863,-89798.18702323695,-89565.96678937305,311.4052894115448,ok
12,0,12,0,0,0,288,0.0010783363921658604,0.010172791257232881,0.08708017792476863,-89798.18702323695,-89565.96678937305,314.0760202407837,ok
12,0,24,0,0,0,144,0.001077945238842536,0.010166631414775043,0.08741132841261989,-89721.85672074575,-89396.77805959215,792.1479251384735,ok
12,0,24,0,0,0,288,0.001077945238842536,0.010166631414775043,0.08741132841261989,-89721.85672074575,-89396.77805959215,792.6401035785675,ok
12,0,36,0,0,0,144,0.001077653267886058,0.010206621527700679,0.08765851108731726,-89662.8792282187,-89244.95911888209,1691.8082728385925,ok
12,0,36,0,0,0,288,0.001077653267886058,0.010206621527700679,0.08765851108731726,-89662.8792282187,-89244.95911888209,1698.558657169342,ok
12,0,48,0,0,0,288,0.0010777515382400956,0.010225318996830848,0.08757531538440388,-89581.83264716968,-89071.08808677702,7359.25384926796,ok
12,0,48,0,0,0,144,0.0010777515382400956,0.010225318996830848,0.08757531538440388,-89581.83264716968,-89071.08808677702,7448.796068906784,ok
12,0,48,0,0,0,288,0.0010777515382400956,0.010225318996830848,0.08757531538440388,-89581.83264716968,-89071.08808677702,8095.016313314438,ok
12,0,48,0,0,0,144,0.0010777515382400956,0.010225318996830848,0.08757531538440388,-89581.83264716968,-89071.08808677702,8098.316625833511,ok
12,0,60,0,0,0,288,0.0010783434564051269,0.010190293127702445,0.08707419733828292,-89503.03691202345,-88899.48491575597,3813.263470172882,ok
12,0,60,0,0,0,144,0.0010783434564051269,0.010190293127702445,0.08707419733828292,-89503.03691202345,-88899.48491575597,3929.6474363803864,ok
24,0,12,0,0,0,288,0.0010778974373522024,0.010268277196846753,0.08745179716464146,-89270.5972496647,-88945.51611552261,227.42275500297546,ok
24,0,24,0,0,0,288,0.0010779923059598584,0.010180338751379834,0.08737148138094797,-89701.84362336675,-89283.88534474069,348.2881510257721,ok
24,0,36,0,0,0,288,0.0010784825553027501,0.010204912557222182,0.08695643618156812,-89608.41057541923,-89097.61933067448,935.8124496936798,ok
36,0,12,0,0,0,288,0.0010763939264994248,0.01019940807189474,0.08872466977672955,-89615.68283337682,-89197.75954223542,628.7318654060364,ok
36,0,24,0,0,0,288,0.0010781869157440096,0.010187245512863622,0.08720672469573165,-89599.7612251925,-89088.96609157523,782.9500463008881,ok
36,0,36,0,0,0,288,0.0429386735881632,0.09283248881222567,-35.35189031645242,-89090.63773020312,-88486.97535005024,1184.514077425003,ok
24,0,48,0,0,0,288,0.0010781832636903804,0.010176373327710073,0.0872098165251215,-89542.05370460282,-88938.44649686603,2431.722818851471,ok
36,0,48,0,0,0,288,0.0010779435960772811,0.010204158469723463,0.08741271917803883,-89534.82954666155,-88838.35969158064,2281.968104362488,ok
48,0,12,0,0,0,288,0.0010776586753070492,0.010219690019164977,0.08765393316354042,-89533.70031762928,-89022.95186561246,1452.7744777202606,ok
36,0,60,0,0,0,288,0.0010782561272933147,0.010186082659379527,0.08714813018316947,-89455.94776914691,-88666.68746633558,4305.1052396297455,ok
12,0,72,0,0,0,288,0.0010778756991021922,0.01021848354151936,0.08747020077178647,-89426.77406782145,-88730.43166894878,4412.532422780991,ok
24,0,72,0,0,0,288,0.001077634161109521,0.01022393458581365,0.08767468688845259,-89414.84143872261,-88625.65338666692,5170.063460826874,ok
24,0,60,0,0,0,288,0.0010784950918144125,0.010204140597741822,0.08694582276809215,-89478.30272676238,-88781.89657722299,6584.71376490593,ok
